address,decimals,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,lastTradeUnixTime,token_url
FXeVUc4iKjULtwW1ufiWDdXusPmfDQ42hcMhaH7cpump,6,8361.412393892457,5513.110660990468,Rojo The Leopard,Rojo ,,2242763.4792688023,2024-12-23 20:56:08,https://www.birdeye.so/token/FXeVUc4iKjULtwW1ufiWDdXusPmfDQ42hcMhaH7cpump?chain=solana
CddkY527KN17usRGCzq4LqbJNu6Zv7cGgccosKJ9pump,6,7175.890858210595,4113.98780378232,Astro Bot,ASTRO,,1983445.3003440339,2024-12-23 21:03:47,https://www.birdeye.so/token/CddkY527KN17usRGCzq4LqbJNu6Zv7cGgccosKJ9pump?chain=solana
13d5K384EjtXpHrKQ7CrtJ5aEMsnWU7Ni3CUSwmTpump,6,5388.379997528798,3490.468847806291,Christmas Stonks,STONX,,1434114.8476837154,2024-12-23 20:53:15,https://www.birdeye.so/token/13d5K384EjtXpHrKQ7CrtJ5aEMsnWU7Ni3CUSwmTpump?chain=solana
6mGYzZ4XTdh58eSxvnMM4GKubNRtetfNSCVdYahZpump,6,11600.334353744911,10544.739616882951,Eternal AI,EAI,,942556.6551702856,2024-12-23 21:11:57,https://www.birdeye.so/token/6mGYzZ4XTdh58eSxvnMM4GKubNRtetfNSCVdYahZpump?chain=solana
2bj8KENurEaqffNEpdp55tCFjVcqzNLZ63nv4V6Rpump,6,6902.250530631556,3734.895756171661,Virtual Alpha AI,VALPHA,,888400.8959344041,2024-12-23 21:10:24,https://www.birdeye.so/token/2bj8KENurEaqffNEpdp55tCFjVcqzNLZ63nv4V6Rpump?chain=solana
EpsHdwTh7UnW311VUgWoQ27C7hgdwtQSG1hbG2b9pump,6,7210.953850365057,4305.836055752105,like a prayer ,prayer,,751998.7723911928,2024-12-23 21:19:28,https://www.birdeye.so/token/EpsHdwTh7UnW311VUgWoQ27C7hgdwtQSG1hbG2b9pump?chain=solana
9JvmyUmwSTwZFhjmkTuyS28PyExqXHusfNinX2Enpump,6,15217.309761290846,14080.19130206513,Autistic Internet,AI,,643610.6139418586,2024-12-23 21:04:30,https://www.birdeye.so/token/9JvmyUmwSTwZFhjmkTuyS28PyExqXHusfNinX2Enpump?chain=solana
D5XPZDdZUF2hSxcAJNgcvTaHadSKsfkvPngx8dgjpump,6,6749.474361806358,3710.522710370735,Rudolph The Rednose Reindeer,RUDY,,625510.0805950126,2024-12-23 21:08:55,https://www.birdeye.so/token/D5XPZDdZUF2hSxcAJNgcvTaHadSKsfkvPngx8dgjpump?chain=solana
94k3qFsZyRRyFds5BVkBPxDdhQM794RRPqTvVSMr9mpn,9,7473.606765038138,11201.23119512478,Wiz PEPE,WIZPEPE,,527566.4306608378,2024-12-23 21:05:31,https://www.birdeye.so/token/94k3qFsZyRRyFds5BVkBPxDdhQM794RRPqTvVSMr9mpn?chain=solana
E3uoHhPcr99Mmge5jtdgHrHkzN1pdRKY7ebbYp5Cpump,6,12371.619231494416,9281.84507708913,"∭D​ρ(x,y,z)dV",ρxyzdV,,517022.52578225115,2024-12-23 20:55:55,https://www.birdeye.so/token/E3uoHhPcr99Mmge5jtdgHrHkzN1pdRKY7ebbYp5Cpump?chain=solana
FXjMeGaMkoAVy4Awb4C7zbEtmmwXDQ1rLjuD1cHLpump,6,7910.825075994009,5216.209276272652,Lumi,Lumi,,295649.57140160864,2024-12-23 20:55:39,https://www.birdeye.so/token/FXjMeGaMkoAVy4Awb4C7zbEtmmwXDQ1rLjuD1cHLpump?chain=solana
eGb5VQ4BUZmBo6DyqAbC9NBZTX1yc38Cd1Mwgyipump,6,14057.644883411998,13144.7002309,ELON SPACE,ES,,261582.11350909417,2024-12-23 21:20:27,https://www.birdeye.so/token/eGb5VQ4BUZmBo6DyqAbC9NBZTX1yc38Cd1Mwgyipump?chain=solana
57cM4Ykn4UQvHrnKiXUkHDoGhG9xmU3vNSnAFaUKqVni,9,2132.4720468759588,1673.1010658712216,WINTERGUY,WINTERGUY,,248571.66837169474,2024-12-23 21:19:26,https://www.birdeye.so/token/57cM4Ykn4UQvHrnKiXUkHDoGhG9xmU3vNSnAFaUKqVni?chain=solana
C1HfPgs5RvBzKjexGAGJDip7EPi5MrYpMRiCPnRdpump,6,10799.975742043605,8490.979008244392,Consensusrising,CORI,,190998.62150294104,2024-12-23 21:03:07,https://www.birdeye.so/token/C1HfPgs5RvBzKjexGAGJDip7EPi5MrYpMRiCPnRdpump?chain=solana
FRQpkNgSved1LFQD18P8XHPjmKZvGXXQpUTM2BhDpump,6,6324.445813639408,3404.6863067922577,Creepz,Creepz,,117309.457422746,2024-12-23 21:16:48,https://www.birdeye.so/token/FRQpkNgSved1LFQD18P8XHPjmKZvGXXQpUTM2BhDpump?chain=solana
6mbQYEE3DajZZpDtCKjgYMaLdc6gLR42tHYkAA5Ppump,6,5183.0298108742645,5479.22692403969,how mf feel,FEEL,,112317.98895536189,2024-12-23 21:16:36,https://www.birdeye.so/token/6mbQYEE3DajZZpDtCKjgYMaLdc6gLR42tHYkAA5Ppump?chain=solana
BgEVFMqi2nzPrBKtE1rAQN9oGUJ8LBDYwoaxuhr2pump,6,6425.364434497654,5655.98586685757,Pepe The Racist Frog,PPP,,66348.64379180956,2024-12-23 21:16:25,https://www.birdeye.so/token/BgEVFMqi2nzPrBKtE1rAQN9oGUJ8LBDYwoaxuhr2pump?chain=solana
4wdNoSwegZJiWbpoMRs464FDa3eheEGMw6BD9f4upump,6,5499.591959833756,5387.347395425832,MIGO,MIGO,,39280.64393955898,2024-12-23 21:07:15,https://www.birdeye.so/token/4wdNoSwegZJiWbpoMRs464FDa3eheEGMw6BD9f4upump?chain=solana
At1DE6dUjxQdAPmeigvZv9Xp98Hp2s7qGYFUC8Qek6Qx,9,9765.795365972856,13443.80891359472,CATIMUS,CATIMUS,,34518.10478148724,2024-12-23 21:21:43,https://www.birdeye.so/token/At1DE6dUjxQdAPmeigvZv9Xp98Hp2s7qGYFUC8Qek6Qx?chain=solana
J8FEZbVuDXFMZehSzuGA9kcMKvgGR3zkKMmv3WVDpump,6,5347.5769173190265,5422.1061438403685,SOLflake,SFLAKE,,34176.98458174171,2024-12-23 21:18:19,https://www.birdeye.so/token/J8FEZbVuDXFMZehSzuGA9kcMKvgGR3zkKMmv3WVDpump?chain=solana
8Sbyz2XJar9yMhtSB4RaaWSYu7rPs9xCoVb6t2FWpump,6,5564.325831297272,5459.052893348601,Initio Protocol,INITIO,,30232.46555828582,2024-12-23 20:49:16,https://www.birdeye.so/token/8Sbyz2XJar9yMhtSB4RaaWSYu7rPs9xCoVb6t2FWpump?chain=solana
7j4KCTc7DEN3HStCKaDRoTepoDvNgUZYFV8NSrWfpump,6,13564.986629494228,18193.566536588416,lucky dog,LDOG,,28374.54685184626,2024-12-23 20:58:06,https://www.birdeye.so/token/7j4KCTc7DEN3HStCKaDRoTepoDvNgUZYFV8NSrWfpump?chain=solana
63V5xMMUUknJuzZcJYgUwziMPpiSVjv5CzQQY7yGpump,6,9495.765155923984,6753.505718442162,Missing Cat,Mica,,21046.12299991713,2024-12-23 21:24:24,https://www.birdeye.so/token/63V5xMMUUknJuzZcJYgUwziMPpiSVjv5CzQQY7yGpump?chain=solana
