lastTradeTime_EST,address,decimals,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,lastTradeUnixTime,token_url
2024-12-23 16:22:24-05:00,jFArmo3c3AtkHRUxVkBe81V9ha34Xbpe5zYmZ9cDANK,9,9026.026375629819,7725.6033444861005,DankBoyOnSOL,DANK,-66.72198837640106,3139972.4541341923,2024-12-23 21:22:24,https://www.birdeye.so/token/jFArmo3c3AtkHRUxVkBe81V9ha34Xbpe5zYmZ9cDANK?chain=solana
2024-12-23 16:06:24-05:00,2MgVEZooiC3XMupyBcavwAhQ8YqPLJNNHh4yqudfpump,6,9458.123677903941,6258.113460675942,zerebro dog,ZDOG,,2912114.573684743,2024-12-23 21:06:24,https://www.birdeye.so/token/2MgVEZooiC3XMupyBcavwAhQ8YqPLJNNHh4yqudfpump?chain=solana
2024-12-23 16:04:32-05:00,3PqdagKi76TXgCgveSFer8a4jdspSVYHswXEx65ppump,6,11263.886006495488,10187.943635811882,Cyberdelic Singularity Sect,SECT,-31.542079642238956,2844086.8930262867,2024-12-23 21:04:32,https://www.birdeye.so/token/3PqdagKi76TXgCgveSFer8a4jdspSVYHswXEx65ppump?chain=solana
2024-12-23 16:13:59-05:00,HBFS5uW3rSmrBu9CAxSNrt12vFRCXAprXqbeKTfxpump,6,10189.411116137002,7295.56224181218,clit,clit,,2719832.928382113,2024-12-23 21:13:59,https://www.birdeye.so/token/HBFS5uW3rSmrBu9CAxSNrt12vFRCXAprXqbeKTfxpump?chain=solana
2024-12-23 16:05:40-05:00,4wCBaHVa4AigPQ37TP7wjRVpYeHJmv9SWASj7uF9pump,6,8234.799525249673,4566.838776322753,Things I Have Drawn,THINGS,-34.90438266539875,2657165.8087614505,2024-12-23 21:05:40,https://www.birdeye.so/token/4wCBaHVa4AigPQ37TP7wjRVpYeHJmv9SWASj7uF9pump?chain=solana
2024-12-23 15:51:26-05:00,ALx46whzSmrnQMhsFzzqA48PuyTMWjP4Rf2H84zhpump,6,12372.854392625102,10594.248385483657,GMGN,GMGN,68.23546379689192,2520948.1514922455,2024-12-23 20:51:26,https://www.birdeye.so/token/ALx46whzSmrnQMhsFzzqA48PuyTMWjP4Rf2H84zhpump?chain=solana
2024-12-23 16:03:27-05:00,Cyo9PvKUXZrgusUWk9T4Sdx9484o1D8hLMdaNdutpump,6,14713.82539386913,11991.686068463147,Popmas,POPMAS,-33.016251854676504,2406747.6908838293,2024-12-23 21:03:27,https://www.birdeye.so/token/Cyo9PvKUXZrgusUWk9T4Sdx9484o1D8hLMdaNdutpump?chain=solana
2024-12-23 15:52:35-05:00,eZQjVU8g6gUwwXQNVgYHp8A578wYN4GZ2aq64Avpump,6,7417.238321817317,4551.181396272476,shark.fun,SHARK,,2287960.521700795,2024-12-23 20:52:35,https://www.birdeye.so/token/eZQjVU8g6gUwwXQNVgYHp8A578wYN4GZ2aq64Avpump?chain=solana
2024-12-23 15:56:08-05:00,FXeVUc4iKjULtwW1ufiWDdXusPmfDQ42hcMhaH7cpump,6,8361.412393892457,5513.110660990468,Rojo The Leopard,Rojo ,,2242763.4792688023,2024-12-23 20:56:08,https://www.birdeye.so/token/FXeVUc4iKjULtwW1ufiWDdXusPmfDQ42hcMhaH7cpump?chain=solana
2024-12-23 16:11:20-05:00,A6PZqeqbv1BRHUAR6jq46YzJbeakGrA44XBe8HzSpump,6,12139.802681660713,8957.677511533611,PONGU PONGUIN,PONGU,-39.3046567297638,2116028.872066256,2024-12-23 21:11:20,https://www.birdeye.so/token/A6PZqeqbv1BRHUAR6jq46YzJbeakGrA44XBe8HzSpump?chain=solana
2024-12-23 16:03:47-05:00,CddkY527KN17usRGCzq4LqbJNu6Zv7cGgccosKJ9pump,6,7175.890858210595,4113.98780378232,Astro Bot,ASTRO,,1983445.3003440339,2024-12-23 21:03:47,https://www.birdeye.so/token/CddkY527KN17usRGCzq4LqbJNu6Zv7cGgccosKJ9pump?chain=solana
2024-12-23 15:53:38-05:00,7sNFg7CeXpHqgP5w49K6BUXL8DcQqSQ1DGYSDaY2BbEQ,9,6354.27624416891,6578.398830900825,FORTNITE OG,OG,-90.9207674008315,1744921.1092740134,2024-12-23 20:53:38,https://www.birdeye.so/token/7sNFg7CeXpHqgP5w49K6BUXL8DcQqSQ1DGYSDaY2BbEQ?chain=solana
2024-12-23 16:08:41-05:00,9XMpFpKKYGDRd3tHTTfyumYC9KKuPEKkADEreQ7XtFYq,6,13774.151397615113,12867.182758095809,full circle,FC,-43.06683957073529,1692659.3087589038,2024-12-23 21:08:41,https://www.birdeye.so/token/9XMpFpKKYGDRd3tHTTfyumYC9KKuPEKkADEreQ7XtFYq?chain=solana
2024-12-23 15:58:35-05:00,aRjSibqfeYanjtGrnhZ433UJRAfVdWAYtC9bpPZpump,6,7981.771610645001,4671.95753991458,Thomas Nast,NAST,9097.807633591214,1455149.5171913714,2024-12-23 20:58:35,https://www.birdeye.so/token/aRjSibqfeYanjtGrnhZ433UJRAfVdWAYtC9bpPZpump?chain=solana
2024-12-23 16:23:15-05:00,6EDc5Ha43p8N4Td8xAirH4tNB1bRYqmA1wUB1jUupump,6,15596.776191331275,16428.683499380484,SethDiary,SETH,-36.46059286217881,1440367.3799249213,2024-12-23 21:23:15,https://www.birdeye.so/token/6EDc5Ha43p8N4Td8xAirH4tNB1bRYqmA1wUB1jUupump?chain=solana
2024-12-23 15:53:15-05:00,13d5K384EjtXpHrKQ7CrtJ5aEMsnWU7Ni3CUSwmTpump,6,5388.379997528798,3490.468847806291,Christmas Stonks,STONX,,1434114.8476837154,2024-12-23 20:53:15,https://www.birdeye.so/token/13d5K384EjtXpHrKQ7CrtJ5aEMsnWU7Ni3CUSwmTpump?chain=solana
2024-12-23 16:02:50-05:00,3LZt8Xf3pqhwThFXfNtTKzV2ii5nSY7op4b7Xvnopump,6,13964.548400783948,12001.460075863206,evelyn ai agent,evelyn ,-77.47335908608238,1420991.2701040874,2024-12-23 21:02:50,https://www.birdeye.so/token/3LZt8Xf3pqhwThFXfNtTKzV2ii5nSY7op4b7Xvnopump?chain=solana
2024-12-23 16:11:36-05:00,9M7eiobPJo5rwQ9Ax86LMVLVS4KAw7KPgVJ7ZZXhpump,6,9502.078677170113,7260.869653325552,CosmeticAI,CosmeticAI,9310.700418371309,1386412.1066435678,2024-12-23 21:11:36,https://www.birdeye.so/token/9M7eiobPJo5rwQ9Ax86LMVLVS4KAw7KPgVJ7ZZXhpump?chain=solana
2024-12-23 16:00:24-05:00,EmHkbAPPz7XBGL7Y5YoAtxe8srPnDDAZCmYwwKzmpump,6,3050.662246467422,2182.468258777204,Just a HoHoHo Guy,SANTAGUY,34.21001468274057,1235027.3789795921,2024-12-23 21:00:24,https://www.birdeye.so/token/EmHkbAPPz7XBGL7Y5YoAtxe8srPnDDAZCmYwwKzmpump?chain=solana
2024-12-23 16:25:27-05:00,8ox54iJ7sVjqTFBKLV53HPLvu5K8Wdqz7U5S1o5Qpump,6,9400.156261511667,6754.366243892168,Santa Bitcoin,SANTABTC,-66.57274911075214,1212621.9312154208,2024-12-23 21:25:27,https://www.birdeye.so/token/8ox54iJ7sVjqTFBKLV53HPLvu5K8Wdqz7U5S1o5Qpump?chain=solana
2024-12-23 16:17:20-05:00,DUo7dGKvw7Q2q3dZDWX8SmAisHtbbTzVrK5827VJpump,6,14644.490199172098,12328.781945595627,Big Bull,BBULL,-49.32301723464194,1085737.8842487521,2024-12-23 21:17:20,https://www.birdeye.so/token/DUo7dGKvw7Q2q3dZDWX8SmAisHtbbTzVrK5827VJpump?chain=solana
2024-12-23 15:57:04-05:00,CbbtWpiRQXH98qGatBBGZ2nVQzVS7fR33HUf4uSKpump,6,17820.191064143994,15799.399489063593,DOGEJR,DOGEJR,-74.54588916260307,1005619.9653332224,2024-12-23 20:57:04,https://www.birdeye.so/token/CbbtWpiRQXH98qGatBBGZ2nVQzVS7fR33HUf4uSKpump?chain=solana
2024-12-23 16:11:57-05:00,6mGYzZ4XTdh58eSxvnMM4GKubNRtetfNSCVdYahZpump,6,11600.334353744911,10544.739616882951,Eternal AI,EAI,,942556.6551702856,2024-12-23 21:11:57,https://www.birdeye.so/token/6mGYzZ4XTdh58eSxvnMM4GKubNRtetfNSCVdYahZpump?chain=solana
2024-12-23 16:24:28-05:00,4KMGg8YFKFewZsNuRrfqgDLuR15iVtPxEPe9GyFzpump,6,13226.34855883204,11463.287579678887,SantaSol,SSOL,14.914843015214979,929236.6311363186,2024-12-23 21:24:28,https://www.birdeye.so/token/4KMGg8YFKFewZsNuRrfqgDLuR15iVtPxEPe9GyFzpump?chain=solana
2024-12-23 16:10:24-05:00,2bj8KENurEaqffNEpdp55tCFjVcqzNLZ63nv4V6Rpump,6,6902.250530631556,3734.895756171661,Virtual Alpha AI,VALPHA,,888400.8959344041,2024-12-23 21:10:24,https://www.birdeye.so/token/2bj8KENurEaqffNEpdp55tCFjVcqzNLZ63nv4V6Rpump?chain=solana
2024-12-23 16:08:30-05:00,2XHoQQhd5qcZ2wbQCiNK3Ppa2cEnHnDBfDnFTBjFpump,6,15762.212270821172,15719.513116530774,DOUG,DOUG,-1.9573666991041936,858309.1682945386,2024-12-23 21:08:30,https://www.birdeye.so/token/2XHoQQhd5qcZ2wbQCiNK3Ppa2cEnHnDBfDnFTBjFpump?chain=solana
2024-12-23 15:58:20-05:00,7hQkRbpWdhbXU48kbJPzmnhsEbmFG1b2x8Vhv7X8pump,6,10626.600534378686,7366.359360916766,Spider-Man,Spider,12.18094401155277,804585.3675560404,2024-12-23 20:58:20,https://www.birdeye.so/token/7hQkRbpWdhbXU48kbJPzmnhsEbmFG1b2x8Vhv7X8pump?chain=solana
2024-12-23 16:15:24-05:00,8JYoL2wYWkkYzJ4VLpzPieFGfLcKfz2HRrm8J6sdmsvX,6,13103.584509698208,8157.2354344009855,Justice for Zeta,Zeta,-92.92849695574773,792587.3160350916,2024-12-23 21:15:24,https://www.birdeye.so/token/8JYoL2wYWkkYzJ4VLpzPieFGfLcKfz2HRrm8J6sdmsvX?chain=solana
2024-12-23 16:19:28-05:00,EpsHdwTh7UnW311VUgWoQ27C7hgdwtQSG1hbG2b9pump,6,7210.953850365057,4305.836055752105,like a prayer ,prayer,,751998.7723911928,2024-12-23 21:19:28,https://www.birdeye.so/token/EpsHdwTh7UnW311VUgWoQ27C7hgdwtQSG1hbG2b9pump?chain=solana
2024-12-23 16:06:22-05:00,793z16bwDgLvyo4S7Sak8CGquCbCsGgc3tdN1xGnpump,6,13093.275041239045,10632.90645733551,zeresis,ZERESIS,604.4753098719463,682053.8290622602,2024-12-23 21:06:22,https://www.birdeye.so/token/793z16bwDgLvyo4S7Sak8CGquCbCsGgc3tdN1xGnpump?chain=solana
2024-12-23 15:56:23-05:00,7CrBjKKiCL7gV7yTJ6aM8YbieYnpcjBAFzp2dokepump,6,7684.965584787633,4454.076426556712,PIGO,PIGO,-81.9013066457205,669627.4247247668,2024-12-23 20:56:23,https://www.birdeye.so/token/7CrBjKKiCL7gV7yTJ6aM8YbieYnpcjBAFzp2dokepump?chain=solana
2024-12-23 16:25:18-05:00,E8NY8cNrN1vD22ARP6Q98VknVbHBec8sFSip1p7rpump,6,12767.092825126174,11294.410416030256,just a chill xmas guy,XMASGUY,4113.55519533087,661431.0277834109,2024-12-23 21:25:18,https://www.birdeye.so/token/E8NY8cNrN1vD22ARP6Q98VknVbHBec8sFSip1p7rpump?chain=solana
